Frequency (a),Average L2 Loss u,Average L2 Loss r
0.0,inf,inf
2.0,0.031605084900333126,0.09270302041227046
4.0,0.07346647881028362,0.12305754027864806
6.0,0.139239758772043,0.09329381223440651
8.0,0.004719604942624914,0.00747731855430114
10.0,0.0064949496156350974,0.003880628504017204
12.0,0.004602792802125593,0.0041945160053363595
14.0,0.01782879971705193,0.005766423771553011
16.0,0.010696924728896834,0.004173744007314814
18.0,0.001285212123471876,0.004544086419118695
20.0,0.0022804247990953867,0.0025845382764029734
22.0,0.010500833901220906,0.002537673271928528
24.0,0.005600049302523535,0.0035231593968337678
26.0,0.16185197153326888,0.0037744045662310376
28.0,0.35381480624941225,0.006027841109334419
30.0,1959667.4643570965,0.8673438298002125
32.0,13.473958282366072,0.9973438298002125
34.0,431006.2760323261,1.00000000000294
36.0,113529.91313102942,0.9973438298002125
38.0,288869.39328989596,1.000000000287615
40.0,361605.8520780648,1.0000000000874991
